Copenhagen	Hamburg	180
Hamburg	Amsterdam	338
Hamburg	Berlin	182
Berlin	Bern	628
Berlin	Prague	219
Berlin	Warsaw	345
Warsaw	Prague	479
Warsaw	Vienna	464
Warsaw	Budapest	394
Amsterdam	Munich	526
Amsterdam	Bern	558
Amsterdam	Brussel	164
Brussel	Bern	497
Brussel	Genoa	740
Brussel	Paris	225
Prague	Vienna	185
Prague	Munich	174
Paris	Genoa	629
Paris	Madrid	805
Bern	Munich	311
Bern	Triesta	489
Bern	Genoa	304
Bern	Madrid	1104
Munich	Vienna	280
Munich	Rome	582
Vienna	Budapest	155
Vienna	Triesta	317
Vienna	Belgrade	501
Budapest	Triesta	384
Budapest	Belgrade	263
Belgrade	Triesta	403
Triesta	Genoa	361
Triesta	Rome	442
Genoa	Madrid	951
Genoa	Rome	328
Rome	Naples	134
Madrid	Lisbon	339
